Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
nacelle-automotrice,Manitou,105 VJR2,,606,2006,10,2016,BE,6950,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/7140666/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/7140666/manitou-105-vjr2.html,83087,105 VJR2,1564
nacelle-automotrice,Manitou,105 VJR2,,838,2004,12,2016,FR,8950,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/7240148/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/7240148/manitou-105-vjr2.html,83832,105 VJR2,1564
nacelle-automotrice,Manitou,105 VJR2,,1061,2004,12,2016,FR,8950,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/8480006/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/8480006/manitou-105-vjr2.html,84093,105 VJR2,1564
nacelle-automotrice,Manitou,105 VJR2,,,2005,11,2016,FR,8200,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/7857713/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/7857713/manitou-105-vjr2.html,84125,105 VJR2,1564
nacelle-automotrice,Manitou,105 VJR2,,1068,2006,10,2016,PL,35000,PLN,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/9826021/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/9826021/manitou-105-vjr2.html,85016,105 VJR2,1564
Other,Manitou,105 VJR2,105VJR,818,2005,10,2015,FR,2315,USD,http://www.mascus.com,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/5o3p6t4n.html,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/5o3p6t4n.html,98608,105 VJR2,1564
Self-Propelled Aerial Platforms,Manitou,105VJR,105VJR,1200,2000,15,2015,FR,1719,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/9seshp3l.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/9seshp3l.html,71590,105VJR,1622
Self-Propelled Aerial Platforms,Manitou,105VJR,105VJR,0,2007,8,2015,FR,3721,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/fqff7nft.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/fqff7nft.html,71932,105VJR,1622
Self-Propelled Aerial Platforms,Manitou,105VJR,105VJR,500,2003,12,2015,FR,5699,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/it4h5u9t.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105vjr/it4h5u9t.html,72012,105VJR,1622
Self-Propelled Aerial Platforms,Manitou,105VJR,105VJR,643,2007,8,2015,FR,6003,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/other-manito-105vjr/5fbrhjhn.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/other-manito-105vjr/5fbrhjhn.html,72211,105VJR,1622
